Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,100,352.17,636.94,1916.68,187.03,971.89,574.4,103.26,192.79,1081.97,196.26,222.87,34.32,71.48,41.29,143.14,100.09,41.5,30.84,BlackASA,BlackASA
e,Dec,101,304.0,305.0,2047.0,213.0,1245.0,809.0,180.0,349.0,897.0,411.0,216.0,74.0,88.0,50.0,158.0,89.0,65.0,33.0,BlackASA,BlackASA
e,Dec,102,296.35,633.06,1915.75,196.69,972.67,602.09,103.26,193.35,920.34,191.01,218.74,35.71,64.99,40.46,126.83,101.21,40.86,31.77,BlackASA,BlackASA
e,Dec,103,248.0,315.0,2046.0,224.0,1246.0,848.0,180.0,350.0,763.0,400.0,212.0,77.0,80.0,49.0,140.0,90.0,64.0,34.0,BlackASA,BlackASA
e,Dec,104,326.73,633.06,1908.26,186.15,973.45,571.56,102.68,190.03,987.89,196.74,215.65,34.32,66.61,39.64,127.74,91.09,41.5,30.84,BlackASA,BlackASA
e,Dec,105,263.0,301.0,2038.0,212.0,1247.0,805.0,179.0,344.0,819.0,412.0,209.0,74.0,82.0,48.0,141.0,81.0,65.0,33.0,BlackASA,BlackASA
e,Dec,106,366.13,635.97,1907.32,187.91,975.01,571.56,104.41,192.79,1067.5,198.17,223.9,34.32,68.24,41.29,148.58,96.71,41.5,30.84,BlackASA,BlackASA
e,Dec,107,299.0,302.0,2037.0,214.0,1249.0,805.0,182.0,349.0,885.0,415.0,217.0,74.0,84.0,50.0,164.0,86.0,65.0,33.0,BlackASA,BlackASA
e,Dec,108,330.01,635.0,1912.0,181.76,976.57,553.1,100.39,186.16,1206.21,198.17,236.28,33.39,77.17,42.11,144.95,104.58,40.86,30.84,BlackASA,BlackASA
e,Dec,109,280.0,293.0,2042.0,207.0,1251.0,779.0,175.0,337.0,1000.0,415.0,229.0,72.0,95.0,51.0,160.0,93.0,64.0,33.0,BlackASA,BlackASA
e,Dec,110,362.85,635.97,1911.07,186.15,975.01,568.72,104.98,193.35,1297.88,198.17,225.96,34.32,82.04,42.94,148.58,95.59,41.5,30.84,BlackASA,BlackASA
e,Dec,111,296.0,301.0,2041.0,212.0,1249.0,801.0,183.0,350.0,1076.0,415.0,219.0,74.0,101.0,52.0,164.0,85.0,65.0,33.0,BlackASA,BlackASA
e,Dec,112,324.26,634.03,1913.88,186.15,975.79,568.72,106.7,194.45,1268.93,200.56,230.09,34.32,78.8,40.46,144.95,102.34,41.5,30.84,BlackASA,BlackASA
e,Dec,113,261.0,299.0,2044.0,212.0,1250.0,801.0,186.0,352.0,1052.0,420.0,223.0,74.0,97.0,49.0,160.0,91.0,65.0,33.0,BlackASA,BlackASA
